Language,Query,(16589) Weight,Bucket,#1,#2,#3,#4,#5,Comment,Translation
ru,шамати нет никого кроме него,536.0,Shamati,https://kabbalahmedia.info/ru/sources/hFeGidcS,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_hFeGidcS,,,,,Shamati no one except him
ru,шамати 1,536.0,Shamati,https://kabbalahmedia.info/ru/sources/hFeGidcS,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_hFeGidcS,,,,,şamati 1
ru,шамати 30,536.0,Shamati,https://kabbalahmedia.info/ru/sources/IKjYS3I4,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_IKjYS3I4,,,,,şamati 30
ru,Тайны вечной книги Ноах,514.0,The secrets of the eternal book,https://kabbalahmedia.info/ru/programs?program=educational_rF9s8T2V&dates=2009-04-08_2009-06-24,http://www.kabbalah.info/rus/content/view/frame/63327?/rus/content/view/full/63327&main,,,,,Secrets of the eternal book Noah
ru,"ТВ передача ""Тайны вечной книги""",514.0,The secrets of the eternal book,https://kabbalahmedia.info/ru/programs?program=educational_rF9s8T2V,http://www.kabbalah.info/rus/content/view/frame/63327?/rus/content/view/full/63327&main,,,,,"TV program ""Secrets of the eternal book"""
ru,тайна Вечной книги,514.0,The secrets of the eternal book,https://kabbalahmedia.info/ru/programs?program=educational_rF9s8T2V,http://www.kabbalah.info/rus/content/view/frame/63327?/rus/content/view/full/63327&main,,,,,Eternal secret book
ru,группа,13.0,Group,https://kabbalahmedia.info/ru/programs?dates=2018-01-18_2018-06-27&program=educational_DE7rP7vf,http://www.kabbalah.info/rus/content/view/full/93030,https://kabbalahmedia.info/ru/search?q=&sort_by=newertoolder&topic=0db5BBS3_Gvm4nh0t_fWs59UdO,https://kabbalahmedia.info/ru/search?q=&sort_by=newertoolder&topic=0db5BBS3_Gvm4nh0t_1fCA7U1x,https://kabbalahmedia.info/ru/search?q=&sort_by=newertoolder&topic=0db5BBS3_Gvm4nh0t_6lI2zgHp,,Group
ru,нет никого кроме него,426.0,Topic in Kabbalah,https://kabbalahmedia.info/ru/sources/hFeGidcS,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_hFeGidcS,,,,,Nobody except him
ru,восприятие реальности,426.0,Topic in Kabbalah,http://www.kabbalah.info/rus/content/view/frame/103476?/rus/content/view/full/103476&main,https://kabbalahmedia.info/ru/lessons/cu/dcUblC2R?language=ru,https://kabbalahmedia.info/ru/search?q=%D0%BD%D0%B0%20%D1%82%D0%B5%D0%BC%D1%83%20%22%D0%92%D0%BE%D1%81%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5%20%D1%80%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8%22&sort_by=newertoolder,,,,perception of reality
ru,поручительство,426.0,Topic in Kabbalah,https://kabbalahmedia.info/ru/sources/itcVAcFn,https://kabbalahmedia.info/ru/sources/6zlJ4KJH,https://kabbalahmedia.info/ru/sources/IILb9nI3,https://kabbalahmedia.info/ru/programs/c/YSySmqYD,https://kabbalahmedia.info/ru/lessons?topic=0db5BBS3_Gvm4nh0t_wJqY3829,,surety
ru,женский урок,67.0,Women,https://kabbalahmedia.info/ru/lessons/women,,,,,,female lesson
ru,женщина,67.0,Women,http://www.kabbalah.info/rus/content/view/full/47528,https://kabbalahmedia.info/ru/lessons/women,,,,,woman
ru,урок для женщин,67.0,Women,https://kabbalahmedia.info/ru/lessons/women,,,,,,lesson for women
ru,песах,86.3,Holidays,http://www.kabbalah.info/rus/content/view/full/69659,https://kabbalahmedia.info/ru/lessons/virtual/c/sg3UeSpN,https://kabbalahmedia.info/ru/search?q=%D0%BF%D0%B5%D1%81%D0%B0%D1%85,,,,Passover
ru,суккот,86.3,Holidays,http://www.kabbalah.info/rus/content/view/full/69662,https://kabbalahmedia.info/ru/search?q=%20%D0%A1%D1%83%D0%BA%D0%BA%D0%BE%D1%82,,,,,Sukko
ru,пурим,86.3,Holidays,http://www.kabbalah.info/rus/content/view/full/69658,https://kabbalahmedia.info/ru/search?q=%D0%9F%D1%83%D1%80%D0%B8%D0%BC,,,,,purim
ru,свива това,50.7,Navigational,http://kabbalahgroup.info/internet/ru/users/login,,,,,,this shrinks
ru,блог,50.7,Navigational,https://www.laitman.ru/,,,,,,blog
ru,каб тв,50.7,Navigational,http://kab.tv/rus,,,,,,to TV
ru,экран,170.7,Kabbalah concept,https://www.laitman.ru/duhovnaya-rabota/5526.html,https://kabbalahmedia.info/ru/lessons/daily?topic=0db5BBS3_SWTHcWg3_9ACenxnl,,,,,screen
ru,сфирот,170.7,Kabbalah concept,https://www.laitman.ru/questions-answers/202636.html,https://kabbalahmedia.info/ru/lessons/daily?topic=0db5BBS3_SWTHcWg3_wp5i9nTh,,,,,Sefirot
ru,Тора,170.7,Kabbalah concept,https://kabbalahmedia.info/ru/programs?source=mr_bvA8ZB1w,https://www.laitman.ru/search-results?cx=009476949152162131478%3Ae8s1qvvqlo0&cof=FORID%3A11&ie=UTF-8&q=%D1%82%D0%BE%D1%80%D0%B0&submit.x=9&submit.y=12,,,,,Torah
ru,музыка Бааль Сулама,115.0,Music,https://kabbalahmedia.info/ru/search?q=%22%D7%A0%D7%99%D7%92%D7%95%D7%A0%D7%99%20%D7%94%D7%A2%D7%95%D7%9C%D7%9D%20%D7%94%D7%91%D7%90%22,,,,,תאור קיים רק בעברית,music of Baal HaSulam
ru,духин,115.0,Music,https://kabbalahmedia.info/ru/search?q=%22%D7%93%D7%95%D7%9B%D7%99%D7%9F%22,,,,,,DUHIN
ru,пламя в пустыне,115.0,Music,https://kabbalahmedia.info/ru/search?q=%22%D0%9F%D0%BB%D0%B0%D0%BC%D1%8F%20%D0%B2%20%D0%BF%D1%83%D1%81%D1%82%D1%8B%D0%BD%D0%B5%22,https://www.youtube.com/watch?v=rhWJGYeC37U&t=20s,,,,,flame Desert
ru,уроки рабаша,9.0,Rabash recordings,https://kabbalahmedia.info/ru/lessons/rabash,,,,,,Rabash lessons
ru,Зоар ла АМ,311.3,Zohar,https://kabbalahmedia.info/ru/sources/yUcfylRm,http://zoar-sulam-rus.org/,,,,,Zohar la AM
ru,предисловие к книге зоар,311.3,Zohar,https://kabbalahmedia.info/ru/sources/ALlyoveA,,,,,,Preface to the Book of Zohar
ru,вечерний урок,311.3,Zohar,לא ניתן כרגע בארכיון החדש,,,,,"הבקשה לאתר שיעורי ערב. לפי ""שיעור מס' 2"" היה כביכול ניתן לקבל את זה, אך חיפוש לא מציג את השיעורים",evening class
ru,виртуальный урок,57.0,General Kabbalah Lesson,https://kabbalahmedia.info/ru/lessons/virtual/c/VwCQ0OBq,,,,,,virtual lesson
ru,особый урок,57.0,General Kabbalah Lesson,https://kabbalahmedia.info/ru/events,,,,,,special lesson
ru,урок на русском,57.0,General Kabbalah Lesson,לא ניתן כרגע בארכיון החדש,,,,,בקשה לאתר שיעורים לפי שפת מקור רוסית - לא ניתן לעשות זאת,a lesson in Russian
ru,утренний урок,30.7,Morning Lesson,[Latest]https://kabbalahmedia.info/ru/lessons,https://kabbalahmedia.info/ru/lessons,,,,,morning lesson
ru,шаббат,30.7,Morning Lesson,לא ניתן כרגע למצוא שיעורים לפי יום בשבוע,,,,, לדעתי מחפשים שיעורי שבת - טוב אם היה אפשר להציג כל שיעורי שבת לפי תאריכי שבת.,şaʙʙat
ru,птиха 2003,30.7,Morning Lesson,https://kabbalahmedia.info/ru/lessons/daily?source=bs_L2jMWyce_kB3eD83I&dates=2003-01-01_2003-12-31,,,,,לדעתי מחפשים קורס שרבנתן וירטואלית בשפה רוסית בשנת 2003. לא מצאתי אפשרות לחפש לפי שפת מקור של שיעורים,Pticha 2003
ru,берешит,151.0,old testament,https://kabbalahmedia.info/ru/sources/NslF3LJh,https://kabbalahmedia.info/ru/sources/mmnCkYgm,,,,,Bereshit
ru,глава тазриа,151.0,old testament,https://kabbalahmedia.info/ru/sources/YT80k4ZD,https://kabbalahmedia.info/ru/sources/gZamJsCQ,,,,,head tazria
ru,ноах,151.0,old testament,https://kabbalahmedia.info/ru/sources/m1phh1m8,https://kabbalahmedia.info/ru/sources/EtjFb5Ws,,,,,noah
ru,ТЭС,243.0,Talmud Eser Sphirot,https://kabbalahmedia.info/ru/sources/9xNFLSSp,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,,,,,CES
ru,Учение Десяти Сфирот,243.0,Talmud Eser Sphirot,https://kabbalahmedia.info/ru/sources/9xNFLSSp,,,,,,Study of the Ten Sefirot
ru,Часть 4. Десять сфирот акудим,243.0,Talmud Eser Sphirot,https://kabbalahmedia.info/ru/sources/1kDKQxJb?page=209,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL_1kDKQxJb,,,,,Part 4. Ten Sefirot Akudim
ru,Дибров,10.3,Guest,https://kabbalahmedia.info/ru/search?q=%D0%B4%D0%B8%D0%B1%D1%80%D0%BE%D0%B2,,,,,,Dibrov
ru,дрори,10.3,Guest,https://kabbalahmedia.info/ru/events/cu/mgLQmqkl?language=ru,,,,,,drori
ru,хачатурян,10.3,Guest,https://kabbalahmedia.info/ru/search?q=%D1%85%D0%B0%D1%87%D0%B0%D1%82%D1%83%D1%80%D1%8F%D0%BD,,,,,,Khachaturian
ru,супружество,102.3,Integral education,https://kabbalahmedia.info/ru/programs?topic=VUpFlBnu_pXpozaXB_BdfLfqsa,,,,,,matrimony
ru,дети,102.3,Integral education,https://kabbalahmedia.info/ru/programs?topic=VUpFlBnu_pXpozaXB_g4WzYPpT,,,,,,children
ru,здоровье,102.3,Integral education,https://kabbalahmedia.info/ru/programs?topic=VUpFlBnu_jwqdSTx0_AdZ2fZcv,,,,,,health
ru,Конгресс в Москве,256.7,Congress,https://kabbalahmedia.info/ru/events?location=Russia%7CMoscow,,,,,,Congress in Moscow
ru,Арава,256.7,Congress,https://kabbalahmedia.info/ru/events?location=Israel%7CArava,,,,,,Arava
ru,женский конгресс,256.7,Congress,https://kabbalahmedia.info/ru/events/c/cyqhnq9J,https://kabbalahmedia.info/ru/events/c/aXpTpUWD,https://kabbalahmedia.info/ru/events/c/VhbyFhVW,https://kabbalahmedia.info/ru/events/c/sUA9vBdk,,,Women's Congress
ru,сочи,23.3,Group from world KLI,https://kabbalahmedia.info/ru/events?location=Russia%7CSochi,,,,,,Sochi
ru,одесса,23.3,Group from world KLI,https://kabbalahmedia.info/ru/events?location=Ukraine%7COdessa,,,,,,Odessa
ru,Тбилиси,23.3,Group from world KLI,https://kabbalahmedia.info/ru/events?location=Georgia%7CTbilisi,,,,,,Tbilisi
ru,подготовка к уроку,14.7,Preparations,https://kabbalahmedia.info/ru/search?q=%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BA%20%D1%83%D1%80%D0%BE%D0%BA%D1%83,,,,,,Preparation
ru,подготовка,14.7,Preparations,https://kabbalahmedia.info/ru/search?q=%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BA%20%D1%83%D1%80%D0%BE%D0%BA%D1%83,,,,,,training
ru,подготовка к конгрессу,14.7,Preparations,https://kabbalahmedia.info/ru/search?q=%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BA%20%D0%BA%D0%BE%D0%BD%D0%B3%D1%80%D0%B5%D1%81%D1%81%D1%83,,,,,,Preparation for the Congress
ru,винокур,27.0,Lecturer - Friend,https://kabbalahmedia.info/ru/search?q=%D0%B2%D0%B8%D0%BD%D0%BE%D0%BA%D1%83%D1%80,,,,,,distiller
ru,орен леви,27.0,Lecturer - Friend,https://kabbalahmedia.info/ru/search?q=%D0%BE%D1%80%D0%B5%D0%BD%20%D0%BB%D0%B5%D0%B2%D0%B8,,,,,,Oren left
ru,ульянов,27.0,Lecturer - Friend,https://kabbalahmedia.info/ru/search?q=%D1%83%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2,,,,,,Ulyanov
ru,Труды Бааль Сулама,168.7,Kabbalah Book,https://kabbalahmedia.info/ru/search?q=%D0%A2%D1%80%D1%83%D0%B4%D1%8B%20%D0%91%D0%B0%D0%B0%D0%BB%D1%8C%20%D0%A1%D1%83%D0%BB%D0%B0%D0%BC%D0%B0&source=bs&section=filters.sections-filter.sources&language=ru&page=25,,,,,,Proceedings of Baal HaSulam
ru,песенник,168.7,Kabbalah Book,https://kabbalahmedia.info/ru/search?q=%D0%BF%D0%B5%D1%81%D0%B5%D0%BD%D0%BD%D0%B8%D0%BA,,,,,לא מצאתי שירון שאנו משתמשים בו בסעודות באתרים שלנו,songwriter
ru,шавлей сулам,168.7,Kabbalah Book,https://kabbalahmedia.info/ru/sources/YeBcTsJm,https://kabbalahmedia.info/ru/sources/rQ6sIUZK,,,,"נושא החיפוש - שלבי הסולם. ספרים לא קיימים בארכיון. לינק #2 לרשימת מאמרי רב""ש לא עובד - צריך לתקן",şavlej sulam
ru,детский урок,12.7,Children Programs,https://kabbalahmedia.info/ru/search?q=%D0%B4%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9%20%D1%83%D1%80%D0%BE%D0%BA&page=7,https://kabbalahmedia.info/ru/search?q=%D1%83%D1%80%D0%BE%D0%BA%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D1%82%D0%B5%D0%B9&page=7,,,,,children's lessons
ru,урок для детей,12.7,Children Programs,https://kabbalahmedia.info/ru/search?q=%D0%B4%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9%20%D1%83%D1%80%D0%BE%D0%BA&page=7,https://kabbalahmedia.info/ru/search?q=%D1%83%D1%80%D0%BE%D0%BA%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D1%82%D0%B5%D0%B9&page=7,,,,,lesson for children
ru,мультфильмы для детей,12.7,Children Programs,Missing data in Archive,,,,,,cartoons for children
ru,спроси каббалиста,474.0,TV Program,https://kabbalahmedia.info/ru/programs/c/TXrFZRBE,,,,,,ask the Kabbalist
ru,Последнее поколение,474.0,TV Program,https://kabbalahmedia.info/ru/programs/c/DE7rP7vf,https://kabbalahmedia.info/ru/sources/oIrPpKn2,,,,,The latest generation
ru,шаг навстречу,474.0,TV Program,https://kabbalahmedia.info/ru/search?q=%D0%A2%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%22%D0%A8%D0%B0%D0%B3%20%D0%BD%D0%B0%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D1%83%22,,,,,,step forward
ru,письмо,38.7,Letters,https://kabbalahmedia.info/ru/sources/9ZIJ9CkI,https://kabbalahmedia.info/ru/sources/VUcyhrcS,,,,,letter
ru,"Труды РАБАШа, Письма",38.7,Letters,https://kabbalahmedia.info/ru/sources/VUcyhrcS,,,,,,"Works of Rabash, Letters"
ru,письмо 42,38.7,Letters,https://kabbalahmedia.info/ru/sources/lbuuR7FL,https://kabbalahmedia.info/ru/sources/KSOhDjL5,,,,,letter 42
ru,введение в науку каббала,593.7,Kabbalah Article,https://kabbalahmedia.info/ru/sources/kB3eD83I,https://kabbalahmedia.info/ru/search?q=%D0%92%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B2%20%D0%BD%D0%B0%D1%83%D0%BA%D1%83%20%D0%9A%D0%B0%D0%B1%D0%B1%D0%B0%D0%BB%D0%B0%20%28%D0%9F%D1%82%D0%B8%D1%85%D0%B0%29,,,,,cabbala administering to science
ru,РАБАША 1984 статья 7,593.7,Kabbalah Article,https://kabbalahmedia.info/ru/sources/QpKRILZk,https://kabbalahmedia.info/ru/search?q=%D0%A0%D0%90%D0%91%D0%90%D0%A8%D0%90%201984%20%D1%81%D1%82%D0%B0%D1%82%D1%8C%D1%8F%207&section=filters.sections-filter.lessons,,,,,Rabash 1984 Article 7
ru,последнее поколение,593.7,Kabbalah Article,https://kabbalahmedia.info/ru/sources/oIrPpKn2,https://kabbalahmedia.info/ru/programs/c/DE7rP7vf,https://kabbalahmedia.info/ru/programs?source=bs_qMeV5M3Y_oIrPpKn2,https://kabbalahmedia.info/ru/lessons?source=bs_qMeV5M3Y_oIrPpKn2,,,the latest generation
ru,Рабаш,94.0,Kabbalist,https://kabbalahmedia.info/ru/persons/rabash,https://kabbalahmedia.info/ru/sources/rQ6sIUZK,https://kabbalahmedia.info/ru/lessons?source=rb_rQ6sIUZK,https://kabbalahmedia.info/ru/lessons?source=rb_b8SHlrfH,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_ssPpRE7p_NreYiGEg,,Raʙaş
ru,бааль сулам,94.0,Kabbalist,https://kabbalahmedia.info/ru/persons/baal-hasulam,https://kabbalahmedia.info/he/sources/eKY6PhmO,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_ssPpRE7p_RNxPnNjS,,,,baali sulam
ru,Авраам,94.0,Kabbalist,unclear intent,,,,,,Abraham
ru,распространение,12.5,Desimination,https://kabbalahmedia.info/ru/search?q=%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8%20%D0%BA%D0%B0%D0%B1%D0%B1%D0%B0%D0%BB%D0%B0,,,,,,Spread
ru,конференция,12.5,Desimination,https://kabbalahmedia.info/ru/search?q=%D0%BA%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D1%8F&section=filters.sections-filter.lessons,https://kabbalahmedia.info/ru/search?q=%D0%BA%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D1%8F,,,,,the conference
ru,антисемитизм,22.0,Desimination Book,https://kabbalahmedia.info/ru/search?q=%D0%90%D0%BD%D1%82%D0%B8%D1%81%D0%B5%D0%BC%D0%B8%D1%82%D0%B8%D0%B7%D0%BC,,,,,,anti-Semitism
ru,Новая жизнь 1,396.0,New Life,https://kabbalahmedia.info/ru/programs/cu/JmPywLDH,,,,,,New Life 1
ru,новая жизнь 218,396.0,New Life,https://kabbalahmedia.info/ru/programs/cu/6UFViZlw,,,,,,New Life 218
ru,Беседы о новой жизни,396.0,New Life,https://kabbalahmedia.info/ru/programs/c/zf4lLwyI,,,,,,Talks on a new life
ru,новая жизнь здоровье,45.0,New Life + Topic,https://kabbalahmedia.info/ru/programs/c/zf4lLwyI?topic=VUpFlBnu_jwqdSTx0_AdZ2fZcv,,,,,,New Life Health
ru,новая жизнь беременность,45.0,New Life + Topic,https://kabbalahmedia.info/ru/programs/c/zf4lLwyI?topic=VUpFlBnu_pXpozaXB_3cI4UcAW,,,,,,New Life Pregnancy
ru,новая жизнь супружество,45.0,New Life + Topic,https://kabbalahmedia.info/ru/programs/c/zf4lLwyI?topic=VUpFlBnu_pXpozaXB_BdfLfqsa,,,,,,new life marriage
ru,семинары,40.0,Workshops,https://kabbalahmedia.info/ru/search?q=%D1%81%D0%B5%D0%BC%D0%B8%D0%BD%D0%B0%D1%80%D1%8B,https://kabbalahmedia.info/ru/search?q=%D1%81%D0%B5%D0%BC%D0%B8%D0%BD%D0%B0%D1%80%D1%8B&section=filters.sections-filter.lessons,,,,,workshops
ru,правила семинара,40.0,Workshops,https://kabbalahmedia.info/ru/search?q=%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0%20%D1%81%D0%B5%D0%BC%D0%B8%D0%BD%D0%B0%D1%80%D0%B0,,,,,,Law seminar
ru,Новости,38.3,Clip,https://kabbalahmedia.info/ru/search?q=%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8&section=filters.sections-filter.programs,https://kabbalahmedia.info/ru/search?q=%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8&section=filters.sections-filter.lessons,,,,,news
ru,Клип,38.3,Clip,https://kabbalahmedia.info/ru/programs/clips,,,,,,clip
ru,стих ари,38.3,Clip,https://kabbalahmedia.info/ru/search?q=%22%D0%97%D0%BD%D0%B0%D0%B9%2C%20%D0%B4%D0%BE%20%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%B0%20%D1%82%D0%B2%D0%BE%D1%80%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B1%D1%8B%D0%BB%20%D0%BB%D0%B8%D1%88%D1%8C%20%D0%B2%D1%8B%D1%81%D1%88%D0%B8%D0%B9%2C%20%D0%B2%D1%81%D0%B5%20%D1%81%D0%BE%D0%B1%D0%BE%D0%B9%20%D0%B7%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D1%8F%D1%8E%D1%89%D0%B8%D0%B9%20%D1%81%D0%B2%D0%B5%D1%82%E2%80%A6%22,,,,,,verse ari
ru,дорога к себе,12.0,Movie,https://kabbalahmedia.info/ru/search?q=%D0%94%D0%BE%D1%80%D0%BE%D0%B3%D0%B0%20%D0%BA%20%D1%81%D0%B5%D0%B1%D0%B5,,,,,,Road to Self
ru,фильм,12.0,Movie,https://kabbalahmedia.info/ru/search?q=%D1%84%D0%B8%D0%BB%D1%8C%D0%BC&language=ru,,,,,,film
ru,секрет зоар,71.8,Course,https://kabbalahmedia.info/ru/lessons/cu/Lh4xt0W5?language=ru,https://lp.kabacademy.com/way_to_yourself/?utm_source=IS_edu.kabacademy&utm_medium=Ret&utm_campaign=7_MO_RUS_INT_vesna_2018,,,,,discharge Zohar
ru,псалмы,37.7,Psalms,https://kabbalahmedia.info/ru/search?q=%D0%A2%D0%B5%D0%B8%D0%BB%D0%B8%D0%BC%20-%20%D0%BF%D1%81%D0%B0%D0%BB%D0%BC%D1%8B%20%D1%86%D0%B0%D1%80%D1%8F%20%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%B0,,,,,,psalmı
ru,псалмы давида,37.7,Psalms,https://kabbalahmedia.info/ru/search?q=%D0%A2%D0%B5%D0%B8%D0%BB%D0%B8%D0%BC%20-%20%D0%BF%D1%81%D0%B0%D0%BB%D0%BC%D1%8B%20%D1%86%D0%B0%D1%80%D1%8F%20%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%B0,,,,,,psalms of David
ru,теилим,37.7,Psalms,https://kabbalahmedia.info/ru/search?q=%D0%A2%D0%B5%D0%B8%D0%BB%D0%B8%D0%BC%20-%20%D0%BF%D1%81%D0%B0%D0%BB%D0%BC%D1%8B%20%D1%86%D0%B0%D1%80%D1%8F%20%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%B0,,,,,,Teil
ru,Радио-версия блога Михаэля Лайтмана,142.0,Radio,https://www.laitman.ru/topics/radio-versiya-bloga,,,,,,Radio version Blog Michael Laitman
ru,радио версия,142.0,Radio,https://www.laitman.ru/topics/radio-versiya-bloga,,,,,,radio version
ru,иврит,19.0,Hebrew,https://kabbalahmedia.info/ru/search?q=%D0%B8%D0%B2%D1%80%D0%B8%D1%82,https://www.youtube.com/channel/UCKv3VKWs3ndkM7ijBzF1crQ,,,,,ivrit
ru,каббалистический иврит учебное пособие,19.0,Hebrew,http://www.kabbalah.info/rus/content/view/frame/75825?/rus/content/view/full/75825&main,,,,,,Hebrew Kabbalistic textbook
ru,уроки иврита,19.0,Hebrew,https://www.youtube.com/channel/UCKv3VKWs3ndkM7ijBzF1crQ,,,,,,Hebrew lessons
ru,"Дистанционный курс ""Восприятие реальности""",71.8,Course,https://kabacademy.com/home-2/,,,,,,"Remote course ""Perception is Reality"""
ru,Схема мироздания,71.8,Course,https://kabacademy.com/home-2/,,,,,,The scheme of the universe
ru,уроки иврита,71.8,Course,https://www.youtube.com/channel/UCKv3VKWs3ndkM7ijBzF1crQ,,,,,,Hebrew lessons
ru,Статья дня,41.0,Noon Article,sviva tova,,,,,,Article of the day
ru,трапеза,45.5,Meals,https://kabbalahmedia.info/ru/events/meals,https://kabbalahmedia.info/ru/search?q=%D0%A2%D1%80%D0%B0%D0%BF%D0%B5%D0%B7%D0%B0%20%D0%BA%D0%B0%D0%B1%D0%B1%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%B2,,,,,table
ru,Тиш,45.5,Meals,https://kabbalahmedia.info/ru/events/meals,https://kabbalahmedia.info/ru/search?q=%D1%82%D0%B8%D1%88,,,,,tooth
ru,вебинар,226.0,Webinar,https://kabbalahmedia.info/ru/lessons/virtual/c/VwCQ0OBq,[Latest]https://kabbalahmedia.info/ru/lessons/virtual/c/VwCQ0OBq,,,,,webinar
ru,чертеж,14.0,Scatches,לא ניתן כרגע להגיע לשירטוטים לא דרך שיעור ספציפי.,,,,,,drawing
ru,рисунок,14.0,Scatches,לא ניתן כרגע להגיע לשירטוטים לא דרך שיעור ספציפי.,,,,,,picture
ru,ешиват,42.3,Yeshivat Haverim,https://kabbalahmedia.info/ru/events/friends-gatherings,,,,,,eshivat
ru,собрание товарищей,42.3,Yeshivat Haverim,https://kabbalahmedia.info/ru/events/friends-gatherings,,,,,,friends meeting
ru,ешиват хаверим,42.3,Yeshivat Haverim,https://kabbalahmedia.info/ru/events/friends-gatherings,,,,,,Javier eshivat